"","dia_mes_ano","hora_minuto","irr_inv","massaPM1","numPM1","massaPM2","numPM2","tamanho_medio","temp","vento_vel","vento_dir","P_DC","x_gauss","P_AC","I_AC","V_AC","I_DC","V_DC","massaPM4","numPM4","massaPM10","numPM10","rainfall","irr_est","Vd1","Pd","Nloss","Vd2","m","SR"
"22",20191004,"033900",0,5.3,43.74,0.18,0.12,0.46,22.55,0,90,0,0.00176342552602069,0,0,0,0,0,0,0,0,0,0,0.91,0.000310713103074145,2e-08,3e-10,0.000317125542532867,0.00455340341010596,0.931610210924433
"23",20191004,"034900",0,5.02,41.43,0.17,0.11,0.47,22.23,0,90,0,0.00177907677522724,0,0,0,0,0,0,0,0,0,0,0.06,0.000304652215456349,2e-08,3e-10,0.000311064654915071,0.00460113843605576,0.931003219947183
"24",20191004,"035900",0,5.11,42.16,0.17,0.12,0.48,22.04,0,90,0,0.0017967079433706,0,0,0,0,0,0,0,0,0,0,0.46,0.000299193094549156,2e-08,3e-10,0.000305605534007877,0.00465500274644647,0.930319443259058
"25",20191004,"040900",0,5.08,41.91,0.17,0.12,0.45,21.78,0.27,90,0,0.00183084598951771,0,0,0,0,0,0,0,0,0,0,0,0.00029732430485495,2e-08,3e-10,0.000303736744313671,0.00475956694516578,0.928995492527838
"26",20191004,"041900",0,5.57,45.95,0.19,0.13,0.46,21.95,0,90,0,0.00185399238526649,0,0,0,0,0,0,0,0,0,0,0,0.000292695359853991,2e-08,3e-10,0.000299107799312713,0.00483066448407327,0.928097822982337
"27",20191004,"042900",0,6.25,51.61,0.21,0.14,0.46,21.93,0,90,0,0.00188318116878131,0,0,0,0,0,0,0,0,0,0,0,0.00028841450459675,2e-08,3e-10,0.000294826944055472,0.00492055021848181,0.926965816091469
"28",20191004,"043900",0,6.67,55.01,0.22,0.15,0.46,21.59,0,90,0,0.00191571368039398,0,0,0,0,0,0,0,0,0,0,0,0.00028441498771535,2e-08,3e-10,0.000290827427174072,0.00502102899077113,0.925704132026388
"29",20191004,"044900",0,6.94,57.24,0.23,0.16,0.46,21.44,0,90,0,0.00195070040118878,0,0,0,0,0,0,0,0,0,0,0,0.000280744002044919,2e-08,3e-10,0.000287156441503641,0.00512943135402705,0.924347268377812
"30",20191004,"045900",0,6.9,56.9,0.23,0.16,0.47,21.38,0,90,0,0.00198547174168039,0,0,0,0,0,0,0,0,0,0,0,0.000277346208464024,2e-08,3e-10,0.000283758647922745,0.00523751413739978,0.922998757844854
"31",20191004,"050900",0,6.68,55.1,0.22,0.15,0.48,21.04,1.06,90,0,0.00207761015489247,0,0,0,0,0,0,0,0,0,0,0.46,0.0002838908482237,2e-08,3e-10,0.000290303287682421,0.00552555549132698,0.919425424538157
"32",20191004,"051900",0,6.89,56.8,0.23,0.16,0.47,21.34,0,90,0,0.00211218022577224,0,0,0,0,0,0,0,0,0,0,0.52,0.000280646333269766,2e-08,3e-10,0.000287058772728487,0.00563422875101819,0.918084720382703
"33",20191004,"052900",7.44,7.61,62.78,0.25,0.17,0.47,21.48,0.27,90,63.15,0.00216693210183265,34.11,0.18,218.43,0.13,478.41,0,0,0,0,0,1.03,0.000279878376081908,2e-08,3e-10,0.00028629081554063,0.00580699999795217,0.915961321384904
"34",20191004,"053900",16.4,7.67,63.27,0.26,0.17,0.48,22.28,0,90,140.31,0.00220789426067229,111.8,0.52,217.56,0.27,510.86,0,0,0,0,0,14.08,0.000277035118288077,2e-08,3e-10,0.000283447557746798,0.00593677394281735,0.914372718486073
"35",20191004,"054900",33.3,7.3,60.25,0.24,0.17,0.49,25.05,0,153,273.65,0.00224781673496931,246.1,1.14,217.6,0.5,544.82,0,0,0,0,0,44.22,0.000274643177431643,2e-08,3e-10,0.000281055616890364,0.00606367231747084,0.912824437124222
"36",20191004,"055900",54.1,6.09,50.28,0.2,0.14,0.47,28.41,0,180,435.1,0.00227909765899232,407.4,1.87,218.64,0.77,564.6,0,0,0,0,0,65.44,0.000272471868478798,2e-08,3e-10,0.00027888430793752,0.00616338706422147,0.911611294282817
