dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_DC,x_gauss,P_AC,I_AC,V_AC,I_DC,V_DC,massaPM4,numPM4,massaPM10,numPM10,rainfall,irr_est,Vd1,Pd,Nloss,Vd2,m,SR
20191128,000900,0,1.78,14.71,0.06,0.04,0.46,21.1,0,85,0,0.091978736985764,0,0.09,213.8,0,43.03,0,0,0,0,0.5,0,0.026498266171089,4.897e-5,7.3455e-7,0.0265046786105477,0.484354004051871,-2.5571214278402
20191128,001900,0,1.22,10.06,0.04,0.03,0.46,21.13,0,99,0,0.0919689683899317,0,0.09,213.8,0,43.94,0,0,0,0,1,0,0.0264938841786208,4.896e-5,7.344e-7,0.0265002966180795,0.484293293213361,-2.55674576957076
20191128,002900,0,1.18,9.71,0.04,0.03,0.45,21.02,0,126,0,0.0919590851376314,0,0.09,213.8,0,44.19,0,0,0,0,1,0,0.0264895031018079,4.895e-5,7.3425e-7,0.0264959155412666,0.48423187097913,-2.55636570141874
20191128,003900,0,1.31,10.78,0.04,0.03,0.44,20.98,0,103.5,0,0.0919495387040895,0,0.09,213.8,0,43.86,0,0,0,0,1.25,0.12,0.0264851235488818,4.893e-5,7.3395e-7,0.0264915359883405,0.484172543128778,-2.55599858523804
20191128,004900,0,1.39,11.44,0.05,0.03,0.44,20.95,0,103.5,0,0.091940200152587,0,0.09,213.8,0,44.22,0,0,0,0,2,0,0.026480745403386,4.892e-5,7.338e-7,0.0264871578428447,0.484114508268943,-2.55563946271347
20191128,005900,0,1.95,16.05,0.06,0.04,0.46,20.92,0,99,0,0.0919322892151955,0,0.09,213.8,0,44.81,0,0,0,0,2.75,0,0.0264763685784188,4.89e-5,7.335e-7,0.0264827810178775,0.484065346214109,-2.55533523991056
20191128,010900,0,2.16,17.86,0.07,0.05,0.45,20.88,0,54,0,0.0919249408852679,0,0,0,0,0,0,0,0,0,3.5,0,0.0264719930494801,4.889e-5,7.3335e-7,0.0264784054889388,0.484019681133253,-2.55505265232924
20191128,011900,0,1.96,16.16,0.07,0.04,0.46,20.79,0,72,0,0.0919170683355693,0,0,0,0,0,0,0,0,0,4.25,0,0.0264676187503038,4.888e-5,7.332e-7,0.0264740311897625,0.483970759098146,-2.55474990491414
20191128,012900,0,1.58,13.02,0.05,0.04,0.47,20.74,0,94.5,0,0.0919082329019508,0,0,0,0,0,0,0,0,0,4.25,0,0.0264632458589779,4.887e-5,7.3305e-7,0.0264696582984366,0.483915854355685,-2.55441012823446
20191128,013900,0,1.54,12.74,0.05,0.04,0.47,20.79,0,76.5,0,0.0918993045974013,0,0,0,0,0,0,0,0,0,4.75,0,0.0264588746254948,4.885e-5,7.3275e-7,0.0264652870649535,0.483860373465255,-2.55406677953661
20191128,014900,0,1.42,11.71,0.05,0.03,0.47,20.73,0,81,0,0.0918900693155296,0,0,0,0,0,0,0,0,0,5,0,0.0264545044021205,4.884e-5,7.326e-7,0.0264609168415792,0.483802986025862,-2.55371162506353
20191128,015900,0,1.41,11.58,0.05,0.03,0.48,20.75,0,97.88,0,0.0918808027439016,0,0,0,0,0,0,0,0,0,5.25,0.31,0.0264501357489809,4.883e-5,7.3245e-7,0.0264565481884397,0.483745405198684,-2.55335526669733
20191128,020900,0,1.29,10.61,0.04,0.03,0.48,20.82,0.13,81,0,0.091871439320148,0,0,0,0,0,0,0,0,0,0.25,0,0.0264458402829396,4.881e-5,7.3215e-7,0.0264522527223983,0.483687223612673,-2.55299518313715
20191128,021900,0,1.01,8.36,0.03,0.02,0.48,20.67,0.13,72,0,0.091861383526394,0,0,0,0,0,0,0,0,0,0.5,0,0.0264415455169631,4.88e-5,7.32e-7,0.0264479579564219,0.483624741031396,-2.55260847283004
20191128,022900,0,1.5,12.41,0.05,0.03,0.48,20.53,2.39,85.5,0,0.0918561710527683,0,0,0,0,0,0,0,0,0,1,0,0.026438471014296,4.879e-5,7.3185e-7,0.0264448834537548,0.483592353341555,-2.55240801922557
20191128,023900,0,2.13,17.62,0.07,0.05,0.45,20.39,0.13,121.5,0,0.0918489788311719,0,0,0,0,0,0,0,0,0,1.5,0,0.0264341787064366,4.878e-5,7.317e-7,0.0264405911458953,0.48354766503722,-2.55213143108539
20191128,024900,0,1.59,13.11,0.05,0.04,0.47,20.38,0.13,85.5,0,0.0918403989336822,0,0,0,0,0,0,0,0,0,1.75,0,0.026429888082623,4.876e-5,7.314e-7,0.0264363005220817,0.483494355342544,-2.55180147721848
20191128,025900,0,1.39,11.49,0.05,0.03,0.48,20.27,0,99,0,0.0918311090904739,0,0,0,0,0,0,0,0,0,2.75,0.31,0.0264255268062547,4.875e-5,7.3125e-7,0.0264319392457134,0.483436635536142,-2.55144422065174
20191128,030900,0,1.04,8.57,0.04,0.02,0.47,20.48,0.13,126,0,0.091821140702774,0,0,0,0,0,0,0,0,0,3,0.12,0.0264212394644345,4.873e-5,7.3095e-7,0.0264276519038932,0.483374700956367,-2.5510608688358
20191128,031900,0,0.64,5.31,0.02,0.01,0.46,20.55,0.27,76.5,0,0.0918103717632593,0,0,0,0,0,0,0,0,0,3.75,0,0.0264170246601737,4.872e-5,7.308e-7,0.0264234370996324,0.483307793830535,-2.5506467296085
20191128,032900,0,0.43,3.56,0.01,0.01,0.46,20.62,0,85.5,0,0.0917986418437606,0,0,0,0,0,0,0,0,0,3.75,0,0.0264126678649845,4.87e-5,7.305e-7,0.0264190803044433,0.4832349177717,-2.5501956332099
20191128,033900,0,0.4,3.32,0.01,0.01,0.46,20.65,0,76.5,0,0.091786843443233,0,0,0,0,0,0,0,0,0,3.75,0,0.0264083122962727,4.869e-5,7.3035e-7,0.0264147247357314,0.483161617944418,-2.54974190226288
20191128,034900,0,0.36,2.93,0.01,0.01,0.46,20.65,0,36,0,0.0917749248592985,0,0,0,0,0,0,0,0,0,4,0,0.026403957956296,4.867e-5,7.3005e-7,0.0264103703957547,0.483087573178711,-2.54928354842623
20191128,035900,0,0.34,2.84,0.01,0.01,0.46,20.66,0,45,0,0.0917629875498429,0,0,0,0,0,0,0,0,0,4,0,0.0263996049822271,4.866e-5,7.299e-7,0.0264060174216858,0.48301341381688,-2.54882447345579
20191128,040900,0,0.35,2.9,0.01,0.01,0.47,20.63,0,0,0,0.0917510728833122,0,0,0,0,0,0,0,0,0,4.25,0,0.0263952531995008,4.864e-5,7.296e-7,0.0264016656389595,0.482939396855658,-2.54836626826497
20191128,041900,0,0.38,3.18,0.01,0.01,0.48,20.73,0,49.5,0,0.0917392415633826,0,0,0,0,0,0,0,0,0,4.75,0.31,0.0263909031534117,4.863e-5,7.2945e-7,0.0263973155928704,0.482865899378945,-2.54791126736306
20191128,042900,0,0.64,5.31,0.02,0.01,0.48,20.67,0,45,0,0.0917280744233084,0,0,0,0,0,0,0,0,0,0.25,0,0.0263865539193114,4.861e-5,7.2915e-7,0.0263929663587701,0.482796529428523,-2.54748180813484
20191128,043900,0,0.74,6.11,0.02,0.02,0.48,20.61,0,58.5,0,0.091717149286708,0,0,0,0,0,0,0,0,0,0.25,0,0.0263822060334319,4.86e-5,7.29e-7,0.0263886184728906,0.482728664269525,-2.54706165488078
20191128,044900,0,0.84,6.98,0.03,0.02,0.49,20.66,0,63,0,0.0917065038685788,0,0,0,0,0,0,0,0,0,0.75,0,0.0263778597985865,4.859e-5,7.2885e-7,0.0263842722380452,0.482662538077245,-2.5466522580851
20191128,045900,6.5,0.8,6.6,0.03,0.02,0.47,20.69,0.13,72,45.64,0.0916959538288189,16.83,0.12,217.85,0.1,463.4,0,0,0,0,1.25,0.12,0.0263735863791887,4.857e-5,7.2855e-7,0.0263799988186474,0.482597005712034,-2.54624652852005
20191128,050900,9.9,0.87,7.19,0.03,0.02,0.45,20.73,0,81,75.99,0.0916853781969183,47.5,0.24,216.24,0.16,480.43,0,0,0,0,1.25,1.14,0.0263692427375476,4.856e-5,7.284e-7,0.0263756551770063,0.48253131574307,-2.54583981395395
20191128,051900,17.9,0.96,7.9,0.03,0.02,0.45,20.79,0.13,85.5,144.64,0.0916752329516475,116.9,0.55,216.17,0.29,502.69,0,0,0,0,1.25,4.89,0.0263649720214206,4.854e-5,7.281e-7,0.0263713844608793,0.482468300380824,-2.54544965033007
20191128,052900,33.8,0.8,6.63,0.03,0.02,0.45,20.85,0,72,277.84,0.0916644861901964,249.1,1.16,217.12,0.53,526.26,0,0,0,0,2,19.76,0.0263606310726636,4.853e-5,7.2795e-7,0.0263670435121223,0.48240155018,-2.54503635293689
20191128,053900,52.2,0.67,5.55,0.02,0.02,0.45,21.01,0,108,451.89,0.0916534136572629,425.7,1.97,217.07,0.84,536.92,0,0,0,0,2.25,36.99,0.0263562917393422,4.851e-5,7.2765e-7,0.0263627041788009,0.482332778025014,-2.54461052621962
20191128,054900,58.6,0.84,6.95,0.03,0.02,0.45,21.14,0,58.5,507.55,0.0916427719556423,482.5,2.23,216.6,0.94,539.3,0,0,0,0,3,45.99,0.0263519536509504,4.85e-5,7.275e-7,0.0263583660904091,0.482266683199758,-2.54420126756913
20191128,055900,83.8,0.68,5.59,0.02,0.02,0.46,21.32,0,67.5,745.12,0.0916317180745345,707.6,3.34,215.42,1.36,547.68,0,0,0,0,3.5,68.3,0.0263476170414849,4.848e-5,7.272e-7,0.0263540294809436,0.482198029822631,-2.54377615647124
20191128,060900,123.3,0.72,5.98,0.03,0.02,0.47,21.58,0,58.5,1107.83,0.0916207884486681,1078.5,5.02,215.24,2,554.89,0,0,0,0,4.75,104.5,0.0263432819855451,4.847e-5,7.2705e-7,0.0263496944250038,0.482130149636671,-2.54335582314524
20191128,061900,144.4,0.55,4.55,0.02,0.01,0.46,21.95,0,63,1315.99,0.0916094202606417,1284.6,5.96,216.15,2.36,557.96,0,0,0,0,5,130.33,0.0263389485636483,4.846e-5,7.269e-7,0.026345361003107,0.48205954723875,-2.54291862263133
20191128,062900,136.5,0.69,5.66,0.02,0.02,0.47,22.04,2.13,72,1239.64,0.091601762981429,1202.8,5.58,216.28,2.22,557.78,0,0,0,0,5.75,126.22,0.0263357588908065,4.844e-5,7.266e-7,0.0263421713302652,0.482011992416846,-2.54262413662932
20191128,063900,175.4,0.65,5.37,0.02,0.01,0.48,22.37,0,27,1614.58,0.0915906486105269,1578.2,7.34,215.53,2.87,562.03,0,0,0,0,6.75,165.56,0.026331427813551,4.843e-5,7.2645e-7,0.0263378402530097,0.481942968922453,-2.54219669599554
20191128,064900,244.1,0.6,4.94,0.02,0.01,0.48,23.04,0,45,2298.45,0.0915794175551069,2260.6,10.47,215.98,4.08,563.37,0,0,0,0,8,240.9,0.0263270991046607,4.841e-5,7.2615e-7,0.0263335115441194,0.481873222316409,-2.54176476698093
20191128,065900,286,0.48,3.95,0.02,0.01,0.48,23.84,0,31.5,2660.55,0.0915678811205154,2667,12.1,217.85,4.72,561,0,0,0,0,8.5,314.68,0.0263227720857684,4.84e-5,7.26e-7,0.0263291845252271,0.481801580863015,-2.54132109263079
20191128,070900,208.9,0.38,3.18,0.01,0.01,0.49,23.36,0.4,38.25,1918.35,0.0915567295453998,1886.8,8.71,216.7,3.45,556.24,0,0,0,0,8.75,195.4,0.0263186567631185,4.838e-5,7.257e-7,0.0263250692025772,0.481732330939597,-2.5408922185205
20191128,071900,178.8,0.38,3.13,0.01,0.01,0.47,23.6,0.27,18,1630.45,0.0915453647879797,1603.7,7.56,212.38,2.95,552.72,0,0,0,0,1,169.67,0.0263144734550471,4.837e-5,7.2555e-7,0.0263208858945058,0.481661758743961,-2.54045514481347
20191128,072900,131.1,0.46,3.74,0.01,0.01,0.47,23.42,0,49.5,1192.44,0.0915337678654114,1164.5,5.51,211.54,2.17,548.96,0,0,0,0,1,122.89,0.0263101473831476,4.835e-5,7.2525e-7,0.0263165598226064,0.48158974649059,-2.54000914140096
20191128,073900,88.7,0.59,4.85,0.02,0.01,0.47,23.35,0,99,797.45,0.0915225140516698,769.1,3.68,210.82,1.47,539.91,0,0,0,0,1.5,86.69,0.0263058229546837,4.834e-5,7.251e-7,0.0263122353941424,0.481519866377863,-2.53957633262766
20191128,074900,63,0.56,4.59,0.02,0.01,0.46,22.75,0,94.5,557.29,0.0915111849871903,531.8,2.52,212.24,1.04,536.85,0,0,0,0,1.75,46.96,0.026301498239181,4.833e-5,7.2495e-7,0.0263079106786398,0.481449520562753,-2.53914062889673
20191128,075900,99.5,0.73,6,0.02,0.02,0.46,22.85,0,81,891.3,0.0915002949447012,863.8,4.06,212.86,1.63,546.33,0,0,0,0,2.25,72.21,0.026297176946065,4.831e-5,7.2465e-7,0.0263035893855238,0.481381902256195,-2.53872180863149
20191128,080900,154.1,0.78,6.43,0.03,0.02,0.44,23.38,0,63,1429.15,0.0914895492244393,1402.9,6.65,211.11,2.56,558.53,0,0,0,0,3,144.62,0.0262928582629237,4.83e-5,7.245e-7,0.0262992707023825,0.481315181494916,-2.53830853803826
20191128,081900,92.5,0.64,5.3,0.02,0.01,0.44,23.19,0,58.5,828.06,0.0914784490797759,804.5,3.84,210.02,1.51,548.86,0,0,0,0,3.75,86.89,0.0262885387120652,4.828e-5,7.242e-7,0.0262949511515239,0.481246261576187,-2.5378816357528
20191128,082900,144,0.75,6.21,0.03,0.02,0.45,22.99,0,40.5,1340.63,0.091467631721780407,1308.6,6.18,212.24,2.4,554.95,0,0,0,0,4.25,118.79,0.0262842204493105,4.827e-5,7.2405e-7,0.0262906328887693,0.481179098907501,-2.53746560837209
20191128,083900,117.2,0.79,6.48,0.03,0.02,0.46,23.14,0,63,1064.99,0.0914568989788515,1041.7,4.94,211.19,1.94,549.42,0,0,0,0,4.5,106.07,0.0262799045452519,4.825e-5,7.2375e-7,0.0262863169847106,0.481112463010423,-2.53705283440901
20191128,084900,101.1,0.8,6.56,0.03,0.02,0.46,22.88,0,45,916.7,0.0914461950512066,891.7,4.23,211.06,1.66,549.96,0,0,0,0,4.5,87.08,0.0262755887276452,4.824e-5,7.236e-7,0.0262820011671039,0.481046007421118,-2.53664116785499
20191128,085900,114.9,0.85,6.99,0.03,0.02,0.45,22.86,0,90,1049.39,0.0914356188517935,1019.9,4.83,211.6,1.89,551.95,0,0,0,0,5.25,82.39,0.0262712749330581,4.822e-5,7.233e-7,0.0262776873725168,0.480980346212449,-2.53623441285962
20191128,090900,105.5,1.15,9.5,0.04,0.02,0.46,23.21,0,94.5,947.16,0.0914258238702071,924,4.32,213.65,1.72,549.15,0,0,0,0,6,98.63,0.0262669635422724,4.821e-5,7.2315e-7,0.0262733759817311,0.480919536332345,-2.53585770238402
20191128,091900,87.9,1.25,10.32,0.04,0.03,0.45,23.61,0,108,779.5,0.0914162920963055,755.1,3.55,213.41,1.43,546.24,0,0,0,0,6,66.53,0.0262626536455339,4.82e-5,7.23e-7,0.0262690660849927,0.480860361643541,-2.53549111410687
20191128,092900,131.9,2.62,21.58,0.09,0.06,0.44,24,0,94.5,1178.14,0.0914102175790187,1151.1,5.39,213.1,2.12,550.82,0,0,0,0,6,95.5,0.026258344982508,4.819e-5,7.2285e-7,0.0262647574219668,0.480822650704919,-2.53525749022671
20191128,093900,207.2,2.92,24.11,0.1,0.06,0.43,24.21,0,162,1909.79,0.0914049154041015,1874.3,8.82,212.93,3.39,563.19,0,0,0,0,6.5,174.17,0.0262540371120395,4.818e-5,7.227e-7,0.0262604495514982,0.480789734879506,-2.53505357016077
20191128,094900,350.3,0.94,7.75,0.03,0.02,0.44,25.2,0,130.5,3256.19,0.0913946087307487,3213,14.92,215.47,5.81,560.7,0,0,0,0,7,317.81,0.0262497328871814,4.816e-5,7.224e-7,0.0262561453266401,0.480725752184555,-2.53465717801208
20191128,095900,418.3,3.42,28.23,0.12,0.08,0.44,26.29,0,139.5,3887.2,0.0913905923331251,3822.5,17.78,215.07,6.99,556.04,0,0,0,0,7.5,391.39,0.0262454302798467,4.815e-5,7.2225e-7,0.0262518427193054,0.480700819181804,-2.53450270813477
20191128,100900,520.6,2.82,23.26,0.09,0.06,0.44,26.71,0,193.5,4789.28,0.0913850320579216,4726.4,21.87,216.16,8.71,550.07,0,0,0,0,7.5,493.54,0.026241126960756,4.814e-5,7.221e-7,0.0262475394002147,0.480666302418054,-2.5342888608366
20191128,101900,448,2.42,19.92,0.08,0.05,0.45,27.8,0.13,216,4075.13,0.0913786723744171,4027.1,18.59,216.61,7.48,544.75,0,0,0,0,8.25,448.14,0.0262368981392473,4.813e-5,7.2195e-7,0.0262433105787061,0.480626823596429,-2.53404426815615
20191128,102900,320.4,1.92,15.86,0.06,0.04,0.43,26.38,0.4,153,2935.12,0.0913714654964933,2897.9,13.37,216.71,5.36,547.23,0,0,0,0,9,308.03,0.0262328054923485,4.812e-5,7.218e-7,0.0262392179318072,0.480582086269249,-2.53376709213424
20191128,103900,330.1,2.6,21.43,0.09,0.06,0.43,25.89,1.33,67.5,3060.74,0.0913674515528623,3009.6,13.84,217.66,5.52,554.2,0,0,0,0,9.5,288.85,0.0262292152227098,4.811e-5,7.2165e-7,0.0262356276621685,0.480557169637623,-2.5336127159841
20191128,104900,554.3,3.72,30.72,0.13,0.08,0.42,26.38,4.12,130.5,5085.59,0.0913707123518725,5041.2,22.91,219.51,9.22,551.04,0,0,0,0,10.75,489.43,0.0262271238101285,4.81e-5,7.215e-7,0.0262335362495872,0.480577411094621,-2.53373812622363
20191128,105900,583.1,3.26,26.86,0.11,0.07,0.43,26.61,3.33,121.5,5285.76,0.0913715182417241,5212.6,23.78,219.2,9.69,545.44,0,0,0,0,12,569.28,0.0262246052478893,4.809e-5,7.2135e-7,0.026231017687348,0.480582413687588,-2.53376912071347
20191128,110900,538.4,3.35,27.64,0.11,0.08,0.42,27.96,0,126,4736.03,0.09136732099387,4710.5,21.55,218.77,8.89,531.64,0,0,0,0,12.5,506.07,0.0262203117866625,4.808e-5,7.212e-7,0.0262267242261212,0.480556359193502,-2.53360769468731
20191128,111900,449.7,2.95,24.33,0.1,0.07,0.43,27.66,0,40.5,4068.48,0.0913620966323423,4024.2,18.44,218,7.49,542.96,0,0,0,0,12.5,469.28,0.026216014691184,4.807e-5,7.2105e-7,0.0262224271306427,0.480523929173531,-2.53340676572722
20191128,112900,622.6,2.98,24.59,0.1,0.07,0.42,28.5,0.4,54,5625.69,0.0913575970072198,5513.9,24.98,220.87,10.43,539.77,0,0,0,0,13,582,0.0262119357250136,4.806e-5,7.209e-7,0.0262183481644723,0.480495998194345,-2.53323370997772
