dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_DC,x_gauss,P_AC,I_AC,V_AC,I_DC,V_DC,massaPM4,numPM4,massaPM10,numPM10,rainfall,irr_est,Vd1,Pd,Nloss,Vd2,m,SR
20200328,000900,0,1.65,13.6,0.05,0.04,0.45,25.07,14.33,70,0,0.153612329672469,0,0,0,0,0,0,0,0,0,0,0,0.0287425413714519,8.707e-5,1.30605e-6,0.0287489538109107,0.887244627266669,-4.91092459771682
20200328,001900,0,1.77,14.63,0.06,0.04,0.46,24.99,11.3,92,0,0.153619645607717,0,0,0,0,0,0,0,0,0,0,0,0.0287431682526668,8.707e-5,1.30605e-6,0.0287495806921255,0.887294498695696,-4.91120171015464
20200328,002900,0,1.72,14.21,0.06,0.04,0.46,24.75,9.31,94.5,0,0.153624592979904,0,0,0,0,0,0,0,0,0,0,0,0.0287433000337707,8.707e-5,1.30605e-6,0.0287497124732294,0.887328224294323,-4.9113891059883
20200328,003900,0,1.39,11.45,0.05,0.03,0.46,24.81,13.03,49.5,0,0.153632878042535,0,0,0,0,0,0,0,0,0,0,0,0.0287443557778904,8.707e-5,1.30605e-6,0.0287507682173492,0.88738470293694,-4.91170292573017
20200328,004900,0,1.32,10.86,0.04,0.03,0.47,24.56,10.11,85.5,0,0.15363769646516,0,0,0,0,0,0,0,0,0,0,0,0.0287446852453922,8.706e-5,1.3059e-6,0.0287510976848509,0.887417550010411,-4.91188543649292
20200328,005900,0,1.34,11.03,0.04,0.03,0.44,24.36,11.44,85.5,0,0.153644059347367,0,0,0,0,0,0,0,0,0,0,0,0.0287453444699014,8.706e-5,1.3059e-6,0.0287517569093601,0.887460925912907,-4.91212644741711
20200328,010900,0,1.37,11.28,0.04,0.03,0.44,24.35,9.18,90,0,0.153647962215181,0,0,0,0,0,0,0,0,0,0,0,0.0287454436347854,8.706e-5,1.3059e-6,0.0287518560742442,0.887487532005471,-4.91227427858299
20200328,011900,0,1.42,11.74,0.05,0.03,0.45,24.38,7.85,94.5,0,0.153650519749437,0,0,0,0,0,0,0,0,0,0,0,0.0287452132958931,8.705e-5,1.30575e-6,0.0287516257353518,0.88750496694158,-4.91237115168084
20200328,012900,0,1.49,12.28,0.05,0.03,0.46,24.34,9.84,103.5,0,0.153655471599558,0,0,0,0,0,0,0,0,0,0,0,0.0287454771883573,8.705e-5,1.30575e-6,0.028751889627816,0.887538724288331,-4.91255871534952
20200328,013900,0,1.39,11.44,0.05,0.03,0.47,24.29,8.38,114.5,0,0.153658529847658,0,0,0,0,0,0,0,0,0,0,0,0.0287453784942649,8.704e-5,1.3056e-6,0.0287517909337237,0.887559572824531,-4.91267455397818
20200328,014900,0,1.26,10.41,0.04,0.03,0.47,24.38,10.64,72,0,0.153663813844787,0,0,0,0,0,0,0,0,0,0,0,0.0287458404166597,8.704e-5,1.3056e-6,0.0287522528561184,0.887595594802066,-4.91287469803993
20200328,015900,0,1.29,10.63,0.04,0.03,0.46,24.48,9.71,94.5,0,0.153668114125518,0,0,0,0,0,0,0,0,0,0,0,0.0287460715966601,8.704e-5,1.3056e-6,0.0287524840361188,0.887624910769266,-4.91303758124439
20200328,020900,0,1.21,10,0.04,0.03,0.46,24.32,9.58,103.5,0,0.15367207167436,0,0,0,0,0,0,0,0,0,0,0,0.0287462691886065,8.703e-5,1.30545e-6,0.0287526816280652,0.887651890387829,-4.91318748248559
20200328,021900,0,1.21,10,0.04,0.03,0.44,24.36,10.64,114.5,0,0.15367721025376,0,0,0,0,0,0,0,0,0,0,0,0.0287467308090185,8.703e-5,1.30545e-6,0.0287531432484773,0.887686921579402,-4.91338211769649
20200328,022900,0,1.18,9.76,0.04,0.03,0.44,24.3,7.05,81,0,0.153678260347182,0,0,0,0,0,0,0,0,0,0,0,0.0287463025664227,8.703e-5,1.30545e-6,0.0287527150058814,0.88769408039791,-4.91342189230038
20200328,023900,0,1.2,9.94,0.04,0.03,0.44,24.47,10.64,54,0,0.153683390389865,0,0,0,0,0,0,0,0,0,0,0,0.0287467644468476,8.702e-5,1.3053e-6,0.0287531768863064,0.887729053645839,-4.91361620379463
20200328,024900,0,1.04,8.6,0.04,0.02,0.45,24.59,12.63,67.5,0,0.153690351495217,0,0,0,0,0,0,0,0,0,0,0,0.0287477202237393,8.702e-5,1.3053e-6,0.028754132663198,0.887776510207965,-4.91387987026931
20200328,025900,0,1,8.22,0.03,0.02,0.47,24.71,18.35,81,0,0.153703609293467,0,0,0,0,0,0,0,0,0,0,0,0.028750092237949,8.702e-5,1.3053e-6,0.0287565046774077,0.887866894845585,-4.91438203564201
20200328,030900,0,1.04,8.6,0.03,0.02,0.46,24.62,20.35,67.5,0,0.15371921552126,0,0,0,0,0,0,0,0,0,0,0,0.0287529573850004,8.703e-5,1.30545e-6,0.0287593698244592,0.887973291630808,-4.91497314981346
