dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_DC,x_gauss,P_AC,I_AC,V_AC,I_DC,V_DC,massaPM4,numPM4,massaPM10,numPM10,rainfall,irr_est,Vd1,Pd,Nloss,Vd2,m,SR
20200125,000900,0,5.95,49.1,0.2,0.13,0.46,20.57,0,180,0,0.104958554695389,0,0.09,215.3,0,45.11,0,0,0,0,0,0,0.0272096635630676,5.659e-5,8.4885e-7,0.0272160760025263,0.566011625677338,-3.0556456379867
20200125,001900,0,5.35,44.1,0.18,0.12,0.45,20.63,0,180,0,0.104960742190489,0,0.09,215.3,0,44.42,0,0,0,0,0,0,0.0272061446960341,5.658e-5,8.487e-7,0.0272125571354928,0.566025548208796,-3.0557295448069
20200125,002900,0,4.11,33.87,0.14,0.09,0.44,21.08,0.13,180,0,0.104959942550576,0,0.09,215.3,0,43.74,0,0,0,0,0,0,0.0272026840370266,5.658e-5,8.487e-7,0.0272090964764854,0.56602045881449,-3.05569887263186
20200125,003900,0,3.41,28.11,0.11,0.08,0.46,21.29,0,180,0,0.10495716827154,0,0.09,215.3,0,43.67,0,0,0,0,0,0,0.0271991672928737,5.657e-5,8.4855e-7,0.0272055797323324,0.566002801671095,-3.05559245822862
20200125,004900,0,3.48,28.72,0.12,0.08,0.47,21.24,0,180,0,0.104954577959001,0,0.09,215.3,0,44.31,0,0,0,0,0,0,0.0271956506887036,5.656e-5,8.484e-7,0.0272020631281624,0.565986315474607,-3.05549310026399
20200125,005900,0,3.25,26.82,0.11,0.07,0.45,21.16,0,180,0,0.104951403263658,0,0.09,215.3,0,44.49,0,0,0,0,0,0,0.0271921348293585,5.655e-5,8.4825e-7,0.0271985472688172,0.565966110039406,-3.05537132675067
20200125,010900,0,3.51,28.96,0.12,0.08,0.45,21.11,0.13,180,0,0.104949076884645,0,0,0,0,0,0,0,0,0,0,0,0.0271886761007204,5.654e-5,8.481e-7,0.0271950885401791,0.565951303806588,-3.05528209251602
20200125,011900,0,4.22,34.84,0.14,0.1,0.45,21.25,0.4,180,0,0.104948937708926,0,0,0,0,0,0,0,0,0,0,0,0.0271853311378476,5.653e-5,8.4795e-7,0.0271917435773064,0.565950418024982,-3.05527675407292
20200125,012900,0,3.84,31.7,0.13,0.09,0.44,21.1,0,180,0,0.104947276468851,0,0,0,0,0,0,0,0,0,0,0,0.027181817591497,5.653e-5,8.4795e-7,0.0271882300309557,0.565939845105826,-3.0552130329199
20200125,013900,0,3.33,27.51,0.11,0.08,0.46,20.99,0.66,180,0,0.104945237590937,0,0,0,0,0,0,0,0,0,0,0,0.0271785859405504,5.652e-5,8.478e-7,0.0271849983800091,0.565926868761717,-3.05513482646202
20200125,014900,0,3.39,27.99,0.12,0.08,0.45,20.41,0.8,180,0,0.104943532102705,0,0,0,0,0,0,0,0,0,0,0,0.0271754099139333,5.651e-5,8.4765e-7,0.027181822353392,0.5659160142957,-3.05506940800555
20200125,015900,0,3.04,25.09,0.1,0.07,0.45,20.98,0,180,0,0.104939836547932,0,0,0,0,0,0,0,0,0,0,0,0.027171900826546,5.65e-5,8.475e-7,0.0271783132660047,0.565892494293092,-3.05492765526783
20200125,020900,0,3.62,29.83,0.12,0.08,0.46,20.18,0.13,175.5,0,0.104937780483994,0,0,0,0,0,0,0,0,0,0,0,0.0271684449430764,5.649e-5,8.4735e-7,0.0271748573825352,0.565879408736712,-3.05484878947205
20200125,021900,0,3.89,32.11,0.13,0.09,0.46,20.05,0.53,135,0,0.104936977427056,0,0,0,0,0,0,0,0,0,0,0,0.027165160220341,5.648e-5,8.472e-7,0.0271715726597997,0.565874297795923,-3.05481798608003
20200125,022900,0,3.7,30.58,0.12,0.08,0.47,19.99,0,135,0,0.104934967664801,0,0,0,0,0,0,0,0,0,0,0,0.0271616518980108,5.647e-5,8.4705e-7,0.0271680643374695,0.56586150698299,-3.05474089626247
20200125,023900,0,2.89,23.86,0.09,0.06,0.47,20.26,0.13,135,0,0.104931062117518,0,0,0,0,0,0,0,0,0,0,0,0.0271582014820861,5.647e-5,8.4705e-7,0.0271646139215449,0.56583665087335,-3.05459108843631
20200125,024900,0,2.7,22.24,0.09,0.06,0.47,20.51,1.33,135,0,0.104928318711202,0,0,0,0,0,0,0,0,0,0,0,0.027155257068552,5.646e-5,8.469e-7,0.0271616695080107,0.565819191087598,-3.05448585759585
