"","DIA","TIME","IRR","TEMP","MA","PDC","PRECIP"
"1",64,1,0.1,17.24,0.67955,0,0.2
"2",64,2,0.1,17.13,0.67956,0,0.2
"3",64,3,0.2,16.99,0.67957,0,0.2
"4",64,4,0.11,16.99,0.67958,0,0.2
"5",64,5,8,16.5,0.68165,47.28,0.2
"6",64,6,14.6,16.8,0.6817,107.41,0.2
"7",64,7,29.6,17.12,0.68236,222.64,0.2
"8",64,8,48,18.05,0.68241,338.24,0.2
"9",64,9,68.1,18.74,0.68246,499.4,0.2
"10",64,10,108.3,18.91,0.68256,810.09,0.2
"11",64,11,161.2,19.64,0.68268,1220.47,0.2
"12",64,12,125.8,20,0.68279,1018.68,0.2
"13",64,13,154.3,20.78,0.68291,1324.5,0.2
"14",64,14,257.4,22.2,0.68305,2353.01,0.2
"15",64,15,300.6,22.74,0.68321,2822.44,0.2
"16",64,16,345.1,23.16,0.68338,3313.79,0.2
"17",64,17,385.6,23.42,0.68354,3728.23,0.2
"18",64,18,427.1,23.58,0.68369,4096.94,0.2
"19",64,19,473.5,24.42,0.68385,4557.83,0.2
"20",64,20,509.8,25.03,0.68399,4838.27,0.2
"21",64,21,562,25.06,0.68414,5314.82,0.2
"22",64,22,606.4,25.49,0.68426,5677.27,0.2
"23",64,23,647.7,25.99,0.68441,6009.82,0.2
"24",64,24,686.7,26.02,0.68454,6291.39,0.2
"25",64,25,718.2,26.08,0.68467,6527.22,0.2
"26",64,26,757.8,26.03,0.68478,6842.06,0.2
"27",64,27,795.1,26.3,0.68489,7105.97,0.2
"28",64,28,827.9,26.89,0.68501,7334.12,0.2
"29",64,29,869.9,27.24,0.68517,7521.19,0.2
"30",64,30,757.1,27.66,0.68529,6542.11,0.2
"31",64,31,941.6,26.98,0.68541,8140.14,0.2
"32",64,32,965.4,27.78,0.68556,8298.23,0.2
"33",64,33,983,27.41,0.68573,8383.17,0.2
"34",64,34,997.4,27.47,0.68593,8387.72,0.2
"35",64,35,1026.8,28.01,0.68607,8419.41,0.2
"36",64,36,1040.3,28.16,0.68613,8386.91,0.2
"37",64,37,992.3,27.52,0.68626,7984.3,0.2
"38",64,38,1062.6,27.67,0.68637,8408.23,0.2
"39",64,39,1080.1,27.87,0.68648,8410.63,0.2
"40",64,40,1111.5,27.73,0.6866,8419.52,0.2
"41",64,41,949.1,28.03,0.68674,7144.25,0.2
"42",64,42,1113,28.59,0.68683,7911.43,0.2
"43",64,43,1077.8,28.72,0.68692,8170.36,0.2
"44",64,44,1112.4,28.16,0.68709,7939.96,0.2
"45",64,45,1179.3,29.16,0.68717,8408.78,0.2
"46",64,46,1202.1,28.59,0.6873,8410.33,0.2
"47",64,47,867,29.23,0.68739,6070.48,0.2
"48",64,48,1162.2,30.08,0.68748,8406.24,0.2
"49",64,49,402.7,29.27,0.68752,3040.83,0.2
"50",64,50,865.7,28.26,0.68762,6356.43,0.2
"51",64,51,1108.1,30.19,0.68766,7554.77,0.2
"52",64,52,1069.9,29.87,0.68776,8287.46,0.2
"53",64,53,1032.3,30.4,0.68785,8167.33,0.2
"54",64,54,715,29.75,0.6879,5604.34,0.2
"55",64,55,473.5,29.93,0.68794,3816.36,0.2
"56",64,56,893.9,31.29,0.688,7502.98,0.2
"57",64,57,929.4,32.29,0.68807,7717.44,0.2
"58",64,58,236.8,30.34,0.68815,2131.38,0.2
"59",64,59,726.5,30.69,0.68823,6459.18,0.2
"60",64,60,900.1,33.32,0.68831,7552.79,0.2
"61",64,61,373.5,30.39,0.68838,3552.19,0.2
"62",64,62,694.9,31.62,0.6885,5921.13,0.2
"63",64,63,744.5,32.85,0.68866,6336.03,0.2
"64",64,64,728.3,32.93,0.68877,5983.27,0.2
"65",64,65,643.2,32.91,0.68888,5355.31,0.2
"66",64,66,372.4,31.14,0.68893,3233.85,0.2
"67",64,67,575.4,33.78,0.689,4792.72,0.2
"68",64,68,508.1,32.06,0.68909,4228.48,0.2
"69",64,69,472.1,31.97,0.68919,3867.8,0.2
"70",64,70,319.3,31.81,0.68926,2601.58,0.2
"71",64,71,178.7,29.38,0.68932,1442.84,0.2
"72",64,72,217.3,30.23,0.6894,1697.42,0.2
"73",64,73,99.2,27.33,0.68951,667.01,0.2
"74",64,74,97.7,27.2,0.68954,576.09,0.2
"75",64,75,131,27.14,0.68958,502.53,0.2
"76",64,76,87.5,26.87,0.6896,369.59,0.2
"77",64,77,49.3,26.32,0.68964,253.95,0.2
"78",64,78,20.1,25.91,0.6897,159.4,0.2
"79",64,79,12.5,25.27,0.68972,92.86,0.2
"80",64,80,4.6,24.59,0.68975,35.14,0.2
