dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_DC,I_DC,V_DC,m
20191013,000900,0,5.16,42.57,0.17,0.12,0.46,23.07,4.58,105,0,0,0,0.0965294359308844
20191013,001900,0,4.99,41.17,0.17,0.11,0.45,23.14,0.93,90,0,0,0,0.0965433964406681
20191013,002900,0,4.79,39.49,0.16,0.11,0.44,23.02,0.93,94.5,0,0,0,0.0965539558483353
20191013,003900,0,5.11,42.14,0.17,0.12,0.44,23.26,7.71,54,0,0,0,0.0966317235271274
20191013,004900,0,5.09,42,0.17,0.12,0.44,23.23,3.33,72,0,0,0,0.0966691588174971
20191013,005900,0,5.57,45.97,0.18,0.13,0.45,22.77,0.93,315,0,0,0,0.0966926181975281
20191013,010900,0,5.66,46.68,0.19,0.13,0.46,21.95,0,315,0,0,0,0.0967089880770836
20191013,011900,0,5.71,47.08,0.19,0.13,0.46,21.46,0.8,274.5,0,0,0,0.0967334013863712
20191013,012900,0,5.53,45.61,0.18,0.12,0.46,20.78,3.46,99,0,0,0,0.0967791574921062
20191013,013900,0,5.48,45.17,0.18,0.12,0.44,20.9,0,90,0,0,0,0.0967924393897246
20191013,014900,0,5.51,45.44,0.18,0.12,0.44,21.39,0,90,0,0,0,0.0968061883084263
20191013,015900,0,5.41,44.62,0.18,0.12,0.44,21.22,1.33,90,0,0,0,0.0968304647601923
20191013,020900,0,5.14,42.37,0.17,0.12,0.46,21.97,0,94.5,0,0,0,0.0968380836995309
20191013,021900,0,5.08,41.94,0.17,0.12,0.45,22.63,0,135,0,0,0,0.0968448571205013
20191013,022900,0,5.01,41.31,0.17,0.11,0.45,22.27,1.06,130.5,0,0,0,0.0968600568738932
20191013,023900,0,5.11,42.18,0.17,0.12,0.45,22.56,2.39,36,0,0,0,0.0968891330881371
20191013,024900,0,4.97,40.97,0.17,0.11,0.44,23.06,0,0,0,0,0,0.0968939236259578
20191013,025900,0,4.86,40.09,0.16,0.11,0.44,22.84,0.93,81,0,0,0,0.0969054607473186
20191013,030900,0,5.27,43.49,0.17,0.12,0.44,22.18,0.93,135,0,0,0,0.0969236809297086
20191013,031900,0,5.42,44.77,0.18,0.12,0.45,21.97,1.2,211.5,0,0,0,0.0969468631989893
20191013,032900,0,6.05,49.89,0.2,0.14,0.47,23.77,4.66,31.5,0,0,0,0.0970118540038062
20191013,033900,0,5.69,46.96,0.19,0.13,0.47,23.84,2.79,27,0,0,0,0.0970539558801516
20191013,034900,0,5.61,46.25,0.19,0.13,0.44,23.64,4.39,40.5,0,0,0,0.0971092906566952
20191013,035900,0,5.66,46.7,0.19,0.13,0.45,24.17,5.45,13.5,0,0,0,0.0971752245567603
20191013,040900,0,5.2,42.92,0.17,0.12,0.45,24.09,5.59,99,0,0,0,0.0972349226592007
20191013,041900,0,5.37,44.33,0.18,0.12,0.45,24.25,4.79,36,0,0,0,0.0972900560876278
20191013,042900,0,5.2,42.91,0.17,0.12,0.44,24.29,5.05,94.5,0,0,0,0.0973448147218711
20191013,043900,0,5.08,41.87,0.17,0.11,0.45,24.46,5.85,18,0,0,0,0.0974048876216441
20191013,044900,0,5.03,41.48,0.17,0.12,0.44,24.44,5.19,45,0,0,0,0.0974580347965855
20191013,045900,0,5.08,41.9,0.17,0.12,0.45,24.39,5.59,72,0,0,0,0.0975156710411042
20191013,050900,0,5.07,41.82,0.17,0.11,0.46,24.1,6.52,94.5,0,0,0,0.0975816853565251
20191013,051900,7.5,5.3,43.77,0.18,0.12,0.46,23.91,4.26,18,59.29,0.12,473.99,0.097630817814928
20191013,052900,16.1,5.61,46.33,0.19,0.13,0.45,23.84,3.46,22.5,137.29,0.27,504.62,0.0976776001638493
20191013,053900,22.4,5.37,44.28,0.18,0.12,0.46,24.72,3.59,27,179.79,0.35,512.99,0.0977216040156132
20191013,054900,21,5.4,44.55,0.18,0.12,0.45,24.26,3.59,67.5,189.39,0.37,514.07,0.0977661149830607
20191013,055900,41,5.05,41.64,0.17,0.11,0.44,24.63,2.13,27,361.68,0.67,538.37,0.0977914540466902
20191013,060900,72.9,4.96,40.9,0.17,0.11,0.45,25.58,3.86,4.5,634.07,1.15,548.91,0.0978312236147297
20191013,061900,154.3,4.9,40.48,0.16,0.11,0.46,27.8,6.78,18,1292.34,2.35,551.1,0.0978970125264203
20191013,062900,114.9,4.9,40.42,0.16,0.11,0.46,26.72,4.66,27,1058.06,1.92,551.48,0.0979431243121937
20191013,063900,137.8,4.83,39.87,0.16,0.11,0.44,27.46,5.05,13.5,1226.26,2.21,553.7,0.097991864675676
20191013,064900,256.6,4.76,39.23,0.16,0.11,0.43,29.16,5.72,54,2303.64,4.05,567.94,0.0980454665369961
20191013,065900,286.6,4.4,36.33,0.15,0.1,0.44,30.58,5.32,9,2604.49,4.6,565.28,0.0980896929069256
20191013,070900,305.5,4.6,37.9,0.15,0.11,0.43,30.99,5.45,58.5,2793.8,4.98,560.48,0.0981382337098416
20191013,071900,403.7,4.65,38.4,0.15,0.11,0.42,32.12,5.05,45,3572.73,6.5,549.1,0.0981840233267751
20191013,072900,303.8,4.81,39.72,0.16,0.11,0.44,30.94,5.98,9,2734.66,4.98,544.91,0.0982409257438453
20191013,073900,309.9,4.67,38.49,0.16,0.11,0.44,30.86,5.05,103.5,2862.7,5.16,554.37,0.0982869338070411
20191013,074900,504.6,4.77,39.37,0.16,0.11,0.44,32.67,7.71,58.5,4565.76,8.26,552.73,0.0983591085305677
20191013,075900,531.7,4.59,37.88,0.15,0.1,0.44,35.21,5.19,189,4700.09,8.69,540.9,0.0984051570881381
20191013,080900,606.9,4.1,33.83,0.14,0.09,0.44,33.72,10.91,184.5,5344.79,9.9,539.95,0.0984957820733407
20191013,081900,667.3,4.32,35.65,0.14,0.1,0.44,34.53,12.24,90,5830.86,10.95,532.52,0.0986022011357844
20191013,082900,693.9,3.97,32.74,0.13,0.09,0.45,35.27,10.77,54,6042.6,11.38,530.94,0.0986894576486031
20191013,083900,725.9,4.14,34.2,0.14,0.09,0.43,35.78,11.04,189,6282.35,11.94,526.4,0.0987820333576866
20191013,084900,759.7,4.2,34.63,0.14,0.1,0.44,34.75,13.7,90,6585.46,12.5,527,0.0988998384960901
20191013,085900,802.9,4.11,33.89,0.14,0.09,0.46,35.71,9.98,108,6695.73,13,514.5,0.0989820414050923
20191013,090900,830.3,4.14,34.11,0.14,0.09,0.44,35.01,13.03,139.5,7166.16,13.73,521.92,0.099092742424761
20191013,091900,853.9,4.17,34.42,0.14,0.1,0.44,35.21,11.17,117,7259.33,14.05,516.47,0.0991869428870787
20191013,092900,901.9,4.42,36.46,0.15,0.1,0.44,35.32,12.77,99,7682.41,14.93,514.49,0.0992998277695611
20191013,093900,894.7,4.48,36.99,0.15,0.1,0.44,35.4,12.5,85.5,7642.76,14.93,512.24,0.0994112720643207
20191013,094900,817.8,4.35,35.91,0.14,0.1,0.44,34.34,12.37,81,6519.39,11.95,540.1,0.0995193457908159
20191013,095900,746,4.27,35.24,0.14,0.1,0.43,34.99,12.77,121.5,6070.35,11.34,530.74,0.099629824352348
20191013,100900,688.9,4.39,36.24,0.14,0.1,0.43,35.23,8.78,121.5,6305.8,12.02,524.28,0.0997055956768162
20191013,101900,1164.5,4.11,33.9,0.14,0.09,0.43,36.49,13.43,139.5,8315.61,14.95,556.96,0.0998195226371204
20191013,102900,970.2,4.03,33.22,0.14,0.09,0.42,35.89,18.22,90,7492.65,14.19,526,0.0999760348136017
20191013,103900,833.3,4.27,35.23,0.14,0.1,0.42,35.29,15.3,72,6964.46,13.42,518.13,0.100109640810609
20191013,104900,778.3,4.48,36.99,0.15,0.1,0.43,36.41,9.58,180,6749.07,13.04,516.95,0.100194250663783
20191013,105900,627.9,4.35,35.86,0.15,0.1,0.42,35.73,10.11,94.5,5058.05,9.45,528.05,0.100281503820519
20191013,110900,1147.6,4.37,36.03,0.15,0.1,0.42,37.78,8.91,198,8388.88,15.17,553.51,0.100358129095925
20191013,111900,1079.7,4.31,35.57,0.14,0.1,0.43,37.18,10.64,148.5,8346.69,15.97,522.62,0.100449696305234
20191013,112900,1035.5,4.49,37.03,0.15,0.1,0.43,37.3,11.44,166.5,8319.56,16.2,513.76,0.100551459916485
20191013,113900,1074.6,4.56,37.61,0.15,0.1,0.43,36.64,12.64,166.5,8412.27,15.99,526.01,0.100665302480835
20191013,114900,801.7,4.35,35.86,0.14,0.1,0.43,36.33,9.58,157.5,5915.2,11.21,522.26,0.100747608712372
20191013,115900,1098.3,4.47,36.89,0.15,0.1,0.43,36.63,12.64,112.5,8409.19,15.76,534.02,0.100860102360297
20191013,120900,1082.6,4.33,35.71,0.14,0.1,0.41,36.94,11.04,81,8422.96,16.13,522.22,0.100955567961503
20191013,121900,1030,4.04,33.32,0.14,0.09,0.41,37.18,11.04,243,7930.65,15.06,525.57,0.1010463121449
20191013,122900,1112.2,4.05,33.41,0.14,0.09,0.43,38.36,7.71,193.5,8406.49,16.08,522.97,0.101106764243031
20191013,123900,1122.8,4.17,34.43,0.14,0.1,0.42,37.22,15.3,117,8428.02,16.01,526.5,0.101238723014429
20191013,124900,1111.2,3.91,32.28,0.13,0.09,0.41,38.49,9.04,153,8427.05,16.14,522.14,0.101309144941528
20191013,125900,731.6,4.08,33.69,0.14,0.09,0.43,37.27,11.97,148.5,5808.71,11.44,499.49,0.101409091544809
20191013,130900,165.1,4.26,35.18,0.14,0.1,0.42,36.54,5.72,189,1558.83,3.08,506.69,0.101454698455089
20191013,131900,153.7,4.97,40.99,0.17,0.11,0.44,34.9,13.96,238.5,1499.17,2.84,526.97,0.1015874037718
