dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_DC,I_DC,V_DC,m
20191128,000900,0,1.78,14.71,0.06,0.04,0.46,21.1,0,85,0,0,43.03,0.484354004051871
20191128,001900,0,1.22,10.06,0.04,0.03,0.46,21.13,0,99,0,0,43.94,0.484293293213361
20191128,002900,0,1.18,9.71,0.04,0.03,0.45,21.02,0,126,0,0,44.19,0.48423187097913
20191128,003900,0,1.31,10.78,0.04,0.03,0.44,20.98,0,103.5,0,0,43.86,0.484172543128778
20191128,004900,0,1.39,11.44,0.05,0.03,0.44,20.95,0,103.5,0,0,44.22,0.484114508268943
20191128,005900,0,1.95,16.05,0.06,0.04,0.46,20.92,0,99,0,0,44.81,0.484065346214109
20191128,010900,0,2.16,17.86,0.07,0.05,0.45,20.88,0,54,0,0,0,0.484019681133253
20191128,011900,0,1.96,16.16,0.07,0.04,0.46,20.79,0,72,0,0,0,0.483970759098146
20191128,012900,0,1.58,13.02,0.05,0.04,0.47,20.74,0,94.5,0,0,0,0.483915854355685
20191128,013900,0,1.54,12.74,0.05,0.04,0.47,20.79,0,76.5,0,0,0,0.483860373465255
20191128,014900,0,1.42,11.71,0.05,0.03,0.47,20.73,0,81,0,0,0,0.483802986025862
20191128,015900,0,1.41,11.58,0.05,0.03,0.48,20.75,0,97.88,0,0,0,0.483745405198684
20191128,020900,0,1.29,10.61,0.04,0.03,0.48,20.82,0.13,81,0,0,0,0.483687223612673
20191128,021900,0,1.01,8.36,0.03,0.02,0.48,20.67,0.13,72,0,0,0,0.483624741031396
20191128,022900,0,1.5,12.41,0.05,0.03,0.48,20.53,2.39,85.5,0,0,0,0.483592353341555
20191128,023900,0,2.13,17.62,0.07,0.05,0.45,20.39,0.13,121.5,0,0,0,0.48354766503722
20191128,024900,0,1.59,13.11,0.05,0.04,0.47,20.38,0.13,85.5,0,0,0,0.483494355342544
20191128,025900,0,1.39,11.49,0.05,0.03,0.48,20.27,0,99,0,0,0,0.483436635536142
20191128,030900,0,1.04,8.57,0.04,0.02,0.47,20.48,0.13,126,0,0,0,0.483374700956367
20191128,031900,0,0.64,5.31,0.02,0.01,0.46,20.55,0.27,76.5,0,0,0,0.483307793830535
20191128,032900,0,0.43,3.56,0.01,0.01,0.46,20.62,0,85.5,0,0,0,0.4832349177717
20191128,033900,0,0.4,3.32,0.01,0.01,0.46,20.65,0,76.5,0,0,0,0.483161617944418
20191128,034900,0,0.36,2.93,0.01,0.01,0.46,20.65,0,36,0,0,0,0.483087573178711
20191128,035900,0,0.34,2.84,0.01,0.01,0.46,20.66,0,45,0,0,0,0.48301341381688
20191128,040900,0,0.35,2.9,0.01,0.01,0.47,20.63,0,0,0,0,0,0.482939396855658
20191128,041900,0,0.38,3.18,0.01,0.01,0.48,20.73,0,49.5,0,0,0,0.482865899378945
20191128,042900,0,0.64,5.31,0.02,0.01,0.48,20.67,0,45,0,0,0,0.482796529428523
20191128,043900,0,0.74,6.11,0.02,0.02,0.48,20.61,0,58.5,0,0,0,0.482728664269525
20191128,044900,0,0.84,6.98,0.03,0.02,0.49,20.66,0,63,0,0,0,0.482662538077245
20191128,045900,6.5,0.8,6.6,0.03,0.02,0.47,20.69,0.13,72,45.64,0.1,463.4,0.482597005712034
20191128,050900,9.9,0.87,7.19,0.03,0.02,0.45,20.73,0,81,75.99,0.16,480.43,0.48253131574307
20191128,051900,17.9,0.96,7.9,0.03,0.02,0.45,20.79,0.13,85.5,144.64,0.29,502.69,0.482468300380824
20191128,052900,33.8,0.8,6.63,0.03,0.02,0.45,20.85,0,72,277.84,0.53,526.26,0.48240155018
20191128,053900,52.2,0.67,5.55,0.02,0.02,0.45,21.01,0,108,451.89,0.84,536.92,0.482332778025014
20191128,054900,58.6,0.84,6.95,0.03,0.02,0.45,21.14,0,58.5,507.55,0.94,539.3,0.482266683199758
20191128,055900,83.8,0.68,5.59,0.02,0.02,0.46,21.32,0,67.5,745.12,1.36,547.68,0.482198029822631
20191128,060900,123.3,0.72,5.98,0.03,0.02,0.47,21.58,0,58.5,1107.83,2,554.89,0.482130149636671
20191128,061900,144.4,0.55,4.55,0.02,0.01,0.46,21.95,0,63,1315.99,2.36,557.96,0.48205954723875
20191128,062900,136.5,0.69,5.66,0.02,0.02,0.47,22.04,2.13,72,1239.64,2.22,557.78,0.482011992416846
20191128,063900,175.4,0.65,5.37,0.02,0.01,0.48,22.37,0,27,1614.58,2.87,562.03,0.481942968922453
20191128,064900,244.1,0.6,4.94,0.02,0.01,0.48,23.04,0,45,2298.45,4.08,563.37,0.481873222316409
20191128,065900,286,0.48,3.95,0.02,0.01,0.48,23.84,0,31.5,2660.55,4.72,561,0.481801580863015
20191128,070900,208.9,0.38,3.18,0.01,0.01,0.49,23.36,0.4,38.25,1918.35,3.45,556.24,0.481732330939597
20191128,071900,178.8,0.38,3.13,0.01,0.01,0.47,23.6,0.27,18,1630.45,2.95,552.72,0.481661758743961
20191128,072900,131.1,0.46,3.74,0.01,0.01,0.47,23.42,0,49.5,1192.44,2.17,548.96,0.48158974649059
20191128,073900,88.7,0.59,4.85,0.02,0.01,0.47,23.35,0,99,797.45,1.47,539.91,0.481519866377863
20191128,074900,63,0.56,4.59,0.02,0.01,0.46,22.75,0,94.5,557.29,1.04,536.85,0.481449520562753
20191128,075900,99.5,0.73,6,0.02,0.02,0.46,22.85,0,81,891.3,1.63,546.33,0.481381902256195
20191128,080900,154.1,0.78,6.43,0.03,0.02,0.44,23.38,0,63,1429.15,2.56,558.53,0.481315181494916
20191128,081900,92.5,0.64,5.3,0.02,0.01,0.44,23.19,0,58.5,828.06,1.51,548.86,0.481246261576187
20191128,082900,144,0.75,6.21,0.03,0.02,0.45,22.99,0,40.5,1340.63,2.4,554.95,0.481179098907501
20191128,083900,117.2,0.79,6.48,0.03,0.02,0.46,23.14,0,63,1064.99,1.94,549.42,0.481112463010423
20191128,084900,101.1,0.8,6.56,0.03,0.02,0.46,22.88,0,45,916.7,1.66,549.96,0.481046007421118
20191128,085900,114.9,0.85,6.99,0.03,0.02,0.45,22.86,0,90,1049.39,1.89,551.95,0.480980346212449
20191128,090900,105.5,1.15,9.5,0.04,0.02,0.46,23.21,0,94.5,947.16,1.72,549.15,0.480919536332345
20191128,091900,87.9,1.25,10.32,0.04,0.03,0.45,23.61,0,108,779.5,1.43,546.24,0.480860361643541
20191128,092900,131.9,2.62,21.58,0.09,0.06,0.44,24,0,94.5,1178.14,2.12,550.82,0.480822650704919
20191128,093900,207.2,2.92,24.11,0.1,0.06,0.43,24.21,0,162,1909.79,3.39,563.19,0.480789734879506
20191128,094900,350.3,0.94,7.75,0.03,0.02,0.44,25.2,0,130.5,3256.19,5.81,560.7,0.480725752184555
20191128,095900,418.3,3.42,28.23,0.12,0.08,0.44,26.29,0,139.5,3887.2,6.99,556.04,0.480700819181804
20191128,100900,520.6,2.82,23.26,0.09,0.06,0.44,26.71,0,193.5,4789.28,8.71,550.07,0.480666302418054
20191128,101900,448,2.42,19.92,0.08,0.05,0.45,27.8,0.13,216,4075.13,7.48,544.75,0.480626823596429
20191128,102900,320.4,1.92,15.86,0.06,0.04,0.43,26.38,0.4,153,2935.12,5.36,547.23,0.480582086269249
20191128,103900,330.1,2.6,21.43,0.09,0.06,0.43,25.89,1.33,67.5,3060.74,5.52,554.2,0.480557169637623
20191128,104900,554.3,3.72,30.72,0.13,0.08,0.42,26.38,4.12,130.5,5085.59,9.22,551.04,0.480577411094621
20191128,105900,583.1,3.26,26.86,0.11,0.07,0.43,26.61,3.33,121.5,5285.76,9.69,545.44,0.480582413687588
20191128,110900,538.4,3.35,27.64,0.11,0.08,0.42,27.96,0,126,4736.03,8.89,531.64,0.480556359193502
20191128,111900,449.7,2.95,24.33,0.1,0.07,0.43,27.66,0,40.5,4068.48,7.49,542.96,0.480523929173531
20191128,112900,622.6,2.98,24.59,0.1,0.07,0.42,28.5,0.4,54,5625.69,10.43,539.77,0.480495998194345
20191128,113900,548.4,2.38,19.61,0.08,0.05,0.43,28.1,3.06,103.5,4436.16,8.09,540.99,0.480484600354128
20191128,114900,317.7,2.37,19.5,0.08,0.06,0.44,28.2,0,216,2871.28,5.26,545.18,0.480443072731318
20191128,115900,531.6,2.08,17.19,0.07,0.05,0.43,28.37,3.86,175.5,4947.44,8.89,554.26,0.480434911591578
20191128,120900,624.1,2.48,20.43,0.08,0.06,0.42,28.91,5.25,36,5528.96,10.35,533.64,0.480446649673719
20191128,121900,948.6,1.62,13.36,0.05,0.04,0.42,30.11,5.05,130.5,7048.24,12.65,551.99,0.480443011715229
20191128,122900,695.8,1.32,10.88,0.04,0.03,0.42,29.78,5.12,99,5928.93,11.26,523.82,0.480435189101232
20191128,123900,1078.9,1.44,11.86,0.05,0.03,0.43,29.9,8.58,171,7852.34,14.05,557.67,0.480463172746868
20191128,124900,891.3,1.41,11.63,0.05,0.03,0.42,30.8,7.05,229.5,7090.63,13.5,524.27,0.480475825770194
20191128,125900,738,1.53,12.59,0.05,0.04,0.42,31.08,6.25,207,5213.79,9.85,525.17,0.480482422456828
20191128,130900,772.8,1.39,11.45,0.05,0.03,0.42,29.96,6.65,108,5954.53,10.67,549.34,0.480490696866101
20191128,131900,974.9,1.43,11.8,0.05,0.03,0.41,31.31,1.06,99,6887.72,12.55,541.14,0.480445047626041
20191128,132900,570,1.45,11.97,0.05,0.03,0.41,30.61,8.51,139.5,4734.46,8.76,532.54,0.480472545714587
20191128,133900,402.3,1.44,11.83,0.05,0.03,0.41,30.41,4.92,166.5,3452.79,6.28,548.16,0.48046468476926
20191128,134900,395.4,1.53,12.6,0.05,0.04,0.43,29.35,10.37,90,3458.17,6.47,538.06,0.480511592233084
20191128,135900,191.7,1.49,12.3,0.05,0.03,0.44,27.5,9.97,121,1726.33,3.13,550.46,0.480553998664484
20191128,140900,715.3,1.35,11.13,0.04,0.03,0.45,27.98,12.77,148,5922.19,10.14,577.87,0.48062161777666
20191128,141900,790.6,1.33,10.95,0.04,0.03,0.46,29.17,13.17,117,6102.95,10.91,551.42,0.480692835335804
20191128,142900,753.4,1.21,9.96,0.04,0.03,0.45,28.79,10.37,105.5,6417.66,11.94,536.32,0.480734742348371
20191128,143900,698.2,1.08,8.95,0.04,0.02,0.43,29.62,9.44,108,6142.62,11.59,529.4,0.480765643049235
20191128,144900,667.8,1.01,8.29,0.03,0.02,0.43,29.96,9.04,116.5,5878.56,11.17,526.64,0.48079141029546
20191128,145900,657.9,0.96,7.92,0.03,0.02,0.43,29.73,6.65,173,5769.87,11.07,520.96,0.480792983311535
20191128,150900,626.7,1.04,8.61,0.03,0.02,0.44,29.91,13.7,58.5,5494.84,10.58,519.2,0.480864872181551
20191128,151900,577.4,0.96,7.94,0.03,0.02,0.43,30.44,8.91,157.5,5096.22,9.77,521.55,0.480888639932515
20191128,152900,521.8,0.84,6.89,0.03,0.02,0.41,30.13,4.66,78.5,4551.58,8.8,516.79,0.480868787604453
20191128,153900,436.4,0.7,5.79,0.02,0.01,0.41,29.92,8.51,36,3583.64,7.18,500.82,0.480884559553093
20191128,154900,289.3,0.67,5.53,0.02,0.02,0.4,29.2,8.64,65,2118.84,4.38,488.87,0.480901070438778
20191128,155900,211,0.73,6.01,0.02,0.02,0.4,29.21,4.26,150,1505.58,3,509.41,0.480875635795218
20191128,160900,353.8,0.8,6.62,0.02,0.02,0.42,29.84,3.86,177,2134.99,3.94,547.56,0.480847485037212
20191128,161900,173.8,0.72,5.92,0.02,0.02,0.42,30.01,2.39,168.5,1141.23,2.21,511.93,0.480803748482693
20191128,162900,185.2,0.78,6.41,0.03,0.02,0.42,29.76,3.06,108,1234.99,2.31,537.11,0.480767395877549
20191128,163900,239.6,0.77,6.35,0.03,0.02,0.42,30.34,3.19,193.5,1350.82,2.32,582.43,0.480732294305056
20191128,164900,197.9,0.7,5.75,0.02,0.02,0.43,29.92,6.38,238.5,1417.27,2.45,575.58,0.480727218361853
20191128,165900,227.1,0.77,6.33,0.03,0.02,0.43,29.89,3.72,132.5,1577.64,2.72,578.95,0.480697298960894
20191128,170900,152.2,0.86,7.13,0.03,0.02,0.43,29.52,5.19,186,1061.01,1.85,572.49,0.480683145589809
20191128,171900,109.9,1.01,8.33,0.03,0.02,0.43,29.48,1.73,242.5,856.11,1.52,562.67,0.480637545881796
20191128,172900,70.7,1.04,8.58,0.03,0.02,0.43,29.09,2,171,588.7,1.09,539.15,0.480594993385116
20191128,173900,28.3,1.06,8.76,0.04,0.02,0.42,27.91,6.25,130.5,246.99,0.48,508.3,0.480594305442307
20191128,174900,16.2,1.18,9.7,0.04,0.03,0.43,26.93,3.86,210.5,137.38,0.28,496.44,0.480572117630695
20191128,175900,5.1,1.32,10.89,0.04,0.03,0.43,26.52,0,146,49.3,0.11,456.17,0.480514544179642
20191128,180900,0.1,1.2,9.93,0.04,0.03,0.44,26.39,1.46,195.5,6.68,0.02,454.74,0.48046945865319
20191128,181900,0,1.27,10.49,0.04,0.03,0.44,26.24,0,166,0,0,363.88,0.480411173196939
20191128,182900,0,1.47,12.1,0.05,0.03,0.43,26.07,0,245,0,0,107.07,0.480355937057997
20191128,183900,0,1.53,12.59,0.05,0.04,0.44,25.9,0,260,0,0,45.72,0.480301671517256
20191128,184900,0,1.53,12.62,0.05,0.03,0.45,25.75,0,159.5,0,0,41.98,0.480247498839343
20191128,185900,0,1.56,12.91,0.05,0.03,0.43,25.72,0,247,0,0,39.88,0.480193878779707
20191128,190900,0,1.76,14.52,0.06,0.04,0.43,25.62,0,189,0,0,39.9,0.480143316516194
20191128,191900,0,2.17,17.95,0.07,0.05,0.44,25.51,0,202.5,0,0,40.26,0.480099284076488
20191128,192900,0,2.26,18.68,0.08,0.05,0.45,25.44,4.66,207,0,0,40.22,0.480102067478248
20191128,193900,0,1.82,15,0.06,0.04,0.43,24.99,1.86,202.5,0,0,40.68,0.480070617611882
20191128,194900,0,1.94,15.98,0.06,0.04,0.44,24.46,0,207,0,0,40.13,0.480022868198619
20191128,195900,0,1.61,13.31,0.05,0.04,0.46,24.11,0,207,0,0,40.23,0.47997009957077
20191128,200900,0,1.31,10.8,0.04,0.03,0.48,23.64,0,166.5,0,0,41.06,0.479912554115615
