dia_mes_ano,hora_minuto,irr_inv,massaPM1,numPM1,massaPM2,numPM2,tamanho_medio,temp,vento_vel,vento_dir,P_DC,I_DC,V_DC,m
20191219,000900,0,2.02,16.71,0.07,0.05,0.43,23.5,0,75,0,0,44.87,0.479124033389922
20191219,001900,0,1.78,14.67,0.06,0.04,0.43,23.37,0,72,0,0,45.65,0.479074126460582
20191219,002900,0,1.84,15.15,0.06,0.04,0.44,23.36,0,54,0,0,45.54,0.479025160084765
20191219,003900,0,1.77,14.6,0.06,0.04,0.45,23.45,0.93,108,0,0,44.3,0.478984220545224
20191219,004900,0,1.66,13.65,0.06,0.04,0.44,23.5,0,112.5,0,0,43.98,0.478932466469501
20191219,005900,0,1.59,13.13,0.05,0.04,0.46,23.35,0.93,112.5,0,0,44.32,0.478888750800716
20191219,010900,0,1.62,13.42,0.05,0.04,0.47,23.31,0.53,130.5,0,0,45.47,0.478841715477299
20191219,011900,0,1.42,11.72,0.05,0.03,0.46,23.36,3.86,72,0,0,45.64,0.478823857635483
20191219,012900,0,1.42,11.67,0.05,0.03,0.46,23.4,6.12,121.5,0,0,43.74,0.478827945117152
20191219,013900,0,1.43,11.82,0.05,0.03,0.48,23.31,12.63,63,0,0,43.22,0.478895698668332
20191219,014900,0,1.19,9.8,0.04,0.03,0.45,23.21,19.82,72,0,0,43.4,0.479029440639571
20191219,015900,0,1,8.23,0.03,0.02,0.45,23.08,17.16,81,0,0,44.09,0.479134343325702
20191219,020900,0,1.1,9.09,0.04,0.03,0.45,22.88,19.95,58.5,0,0,43.86,0.479268035768414
20191219,021900,0,1.01,8.34,0.03,0.02,0.45,22.66,14.36,76.5,0,0,43,0.479345938698403
20191219,022900,0,0.86,7.12,0.03,0.02,0.43,22.52,23.01,85.5,0,0,42.53,0.479505578763858
20191219,023900,0,0.95,7.87,0.03,0.02,0.44,22.46,24.74,45,0,0,43.53,0.479683391385472
20191219,024900,0,0.8,6.61,0.03,0.02,0.46,22.52,24.87,49.5,0,0,44.31,0.479860103789654
20191219,025900,0,0.73,6.07,0.03,0.02,0.45,22.41,22.61,67.5,0,0,43.79,0.480013747910503
20191219,030900,0,0.79,6.49,0.02,0.02,0.45,22.15,30.72,67.5,0,0,42.6,0.480246932825004
20191219,031900,0,0.66,5.42,0.02,0.01,0.43,22.08,31.65,45,0,0,43.63,0.480487096600355
20191219,032900,0,0.62,5.13,0.02,0.01,0.44,21.96,25.27,78.5,0,0,44.9,0.480664657560714
20191219,033900,0,1.02,8.45,0.03,0.02,0.46,21.34,22.34,36,0,0,45.32,0.480819989389468
20191219,034900,0,0.79,6.5,0.05,0.04,0.52,20.74,22.08,58.5,0,0,43.58,0.480969464363416
20191219,035900,0,0.81,6.29,0.28,0.29,0.61,19.68,34.31,36,0,0,43.64,0.481241365368234
20191219,040900,0,0.73,5.6,0.29,0.3,0.64,19.22,18.35,45,0,0,44.8,0.481357229313789
20191219,041900,0,0.57,4.41,0.2,0.21,0.63,19.42,7.18,67.5,0,0,45.55,0.481360971760629
20191219,042900,0,0.56,4.39,0.17,0.17,0.61,19.42,2.66,81,0,0,47.69,0.481320158916476
20191219,043900,0,0.49,3.91,0.11,0.11,0.58,19.4,1.06,49.5,0,0,93.12,0.481262011059413
20191219,044900,0,0.43,3.4,0.09,0.09,0.58,19.41,0,67.5,0,0,404.71,0.481192274767847
