"","DIA","TIME","IRR","TEMP","MA","PDC"
"1",1,1,5.86,21.65,0.8915,54.19
"2",1,2,10.5,21.77,0.89145,83.52
"3",1,3,15.9,21.77,0.89139,126.8
"4",1,4,24.9,21.98,0.89135,204.31
"5",1,5,38.4,22.22,0.89135,321.4
"6",1,6,52.7,22.43,0.89136,451.07
"7",1,7,66.8,22.84,0.89133,585.48
"8",1,8,78.8,23.02,0.89131,689.42
"9",1,9,87.3,23.09,0.89131,773.12
"10",1,10,95.4,22.98,0.89131,848.24
"11",1,11,101.8,23.2,0.8913,904.38
"12",1,12,108.1,23.49,0.89129,955.36
"13",1,13,123.9,23.66,0.89127,1107.34
"14",1,14,135.6,23.72,0.89125,1213.68
"15",1,15,156.8,23.57,0.89128,1418.4
"16",1,16,177.3,23.92,0.89128,1607.88
"17",1,17,184.4,24.23,0.8913,1675.49
"18",1,18,184.7,24.4,0.89135,1658.29
"19",1,19,187.8,24.88,0.89137,1684.9
"20",1,20,206.6,25.39,0.89139,1864.21
"21",1,21,263.4,25.53,0.89142,2391.48
"22",1,22,321.7,26.51,0.89144,2932.03
"23",1,23,371.4,27.17,0.89146,3362.8
"24",1,24,412.8,28.12,0.89148,3719.27
"25",1,25,491.5,28.59,0.89152,4366.05
"26",1,26,409.7,28.35,0.89157,3649.36
"27",1,27,303.5,28.09,0.8916,2692.49
"28",1,28,231.1,27.82,0.89163,2032.85
"29",1,29,237.4,27.44,0.89166,2106.85
"30",1,30,320,28.41,0.89165,2879.81
"31",1,31,448,29.53,0.89165,4015.29
"32",1,32,519.7,29.83,0.89166,4564.29
"33",1,33,514.5,29.73,0.89168,4487.85
"34",1,34,418.7,29.43,0.8917,3664.31
"35",1,35,314.9,29.24,0.8917,2760.67
"36",1,36,410.8,28.71,0.89171,3425.44
"37",1,37,419.9,30.69,0.89169,3763.55
"38",1,38,563,30.85,0.89171,4907.34
"39",1,39,767.4,30.84,0.89172,6233.97
"40",1,40,491.3,31.43,0.89173,4241.13
"41",1,41,433.2,30.12,0.89174,3721.45
"42",1,42,484.7,30.53,0.89173,4086.6
"43",1,43,1011.8,32.11,0.89176,7999.47
"44",1,44,691.7,30.77,0.89178,5723.21
