dia_mes_ano,hora_minuto,irr,massaPM1,massaPM2,massaPM4,massaPM10,numPM1,numPM2,numPM4,numPM10,tamanho_medio,temp,vento_dir,vento_vel,rainfall,P_AC,I_AC,I_DC,V_AC,V_DC,IRR,P_DC
20191211,000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,212.2,43.9,0,0
20191211,000100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,212.2,44.1,0,0
20191211,000200,0,6.38,0.21,0,0,52.64,0.14,0,0,0.47,23,135,0,0,0,0.09,0,212.2,44.1,0,0
20191211,000300,0,7.59,0.25,0,0,62.59,0.17,0,0,0.47,23,135,0,0,0,0.09,0,212.2,44.3,0,0
20191211,000400,0,6.99,0.23,0,0,57.64,0.16,0,0,0.46,23,135,0,0,0,0.09,0,212.2,44.5,0,0
20191211,000500,0,7.58,0.25,0,0,62.5,0.17,0,0,0.45,23,135,0,0,0,0.09,0,212.2,44.6,0,0
20191211,000600,0,6.6,0.22,0,0,54.43,0.15,0,0,0.49,23.06,135,0,0,0,0.09,0,212.2,44.8,0,0
20191211,000700,0,7.32,0.24,0,0,60.42,0.17,0,0,0.46,23.12,135,0,0,0,0.09,0,212.2,45,0,0
20191211,000800,0,7.23,0.24,0,0,59.67,0.16,0,0,0.48,23,135,0,0,0,0.09,0,212.2,45.2,0,0
20191211,000900,0,7.51,0.25,0,0,61.92,0.17,0,0,0.49,23,135,0,0,0,0.09,0,212.2,45.3,0,0
20191211,001000,0,6.85,0.23,0,0,56.48,0.16,0,0,0.46,23.06,135,0,0,0,0.09,0,212.2,45.4,0,0
20191211,001100,0,7.47,0.25,0,0,61.64,0.17,0,0,0.47,23.12,135,0,0,0,0.09,0,212.2,45.5,0,0
20191211,001200,0,6.85,0.23,0,0,56.51,0.16,0,0,0.48,22.94,135,0,0,0,0.09,0,212.2,45.6,0,0
20191211,001300,0,7.27,0.24,0,0,59.97,0.16,0,0,0.49,22.94,135,0,0,0,0.09,0,212.2,45.7,0,0
20191211,001400,0,7.27,0.24,0,0,59.98,0.16,0,0,0.48,22.94,135,0,0,0,0.09,0,212.2,45.7,0,0
20191211,001500,0,7.44,0.25,0,0,61.41,0.17,0,0,0.45,23,135,0,0,0,0.09,0,212.2,45.7,0,0
20191211,001600,0,7.21,0.24,0,0,59.44,0.16,0,0,0.45,23,135,0,0,0,0.09,0,212.2,45.7,0,0
20191211,001700,0,6.94,0.23,0,0,57.25,0.16,0,0,0.45,22.75,135,0,0,0,0.09,0,212.2,45.7,0,0
20191211,001800,0,7.64,0.25,0,0,63.06,0.17,0,0,0.48,22.62,135,0,0,0,0.09,0,212.2,45.7,0,0
20191211,001900,0,7.05,0.23,0,0,58.17,0.16,0,0,0.48,22.81,135,0,0,0,0.09,0,212.2,45.7,0,0
20191211,002000,0,7.13,0.24,0,0,58.81,0.16,0,0,0.48,22.75,135,0,0,0,0.09,0,212.2,45.7,0,0
20191211,002100,0,7.6,0.25,0,0,62.68,0.17,0,0,0.46,22.69,135,0,0,0,0.09,0,212.2,45.6,0,0
20191211,002200,0,7.25,0.24,0,0,59.81,0.16,0,0,0.46,22.62,135,0,0,0,0.09,0,212.2,45.5,0,0
20191211,002300,0,7.93,0.26,0,0,65.4,0.18,0,0,0.48,22.62,135,0,0,0,0.09,0,212.2,45.5,0,0
20191211,002400,0,7.35,0.24,0,0,60.62,0.17,0,0,0.48,22.62,135,0,0,0,0.09,0,212.2,45.4,0,0
20191211,002500,0,7.31,0.24,0,0,60.35,0.17,0,0,0.48,22.62,135,0,0,0,0.09,0,212.2,45.4,0,0
20191211,002600,0,7.8,0.26,0,0,64.38,0.18,0,0,0.47,22.56,135,0,0,0,0.09,0,212.2,45.4,0,0
20191211,002700,0,7.59,0.25,0,0,62.61,0.17,0,0,0.48,22.62,135,0,0,0,0.09,0,212.2,45.4,0,0
20191211,002800,0,6.86,0.23,0,0,56.56,0.16,0,0,0.48,22.44,135,0,0,0,0.09,0,212.2,45.3,0,0
20191211,002900,0,7.97,0.27,0,0,65.79,0.18,0,0,0.44,22.25,135,0,0,0,0.09,0,212.2,45.3,0,0
20191211,003000,0,8.55,0.28,0,0,70.52,0.19,0,0,0.45,22.19,135,0,0,0,0.09,0,212.2,45.4,0,0
20191211,003100,0,8.43,0.28,0,0,69.58,0.19,0,0,0.46,22.31,135,0,0,0,0.09,0,212.2,45.4,0,0
20191211,003200,0,7.91,0.26,0,0,65.27,0.18,0,0,0.49,22.38,135,0,0,0,0.09,0,212.2,45.8,0,0
20191211,003300,0,7.75,0.26,0,0,63.96,0.18,0,0,0.48,22.25,135,0,0,0,0.09,0,212.2,45.8,0,0
20191211,003400,0,8.57,0.29,0,0,70.72,0.19,0,0,0.48,22.38,135,0,0,0,0.09,0,212.2,46.1,0,0
20191211,003500,0,8.66,0.29,0,0,71.49,0.2,0,0,0.49,22.38,135,0,0,0,0.09,0,212.2,46.1,0,0
20191211,003600,0,7.88,0.26,0,0,65,0.18,0,0,0.48,22.44,135,0,0,0,0.09,0,212.2,46.4,0,0
20191211,003700,0,8.06,0.27,0,0,66.47,0.18,0,0,0.48,22.38,135,0,0,0,0.09,0,212.2,46.4,0,0
20191211,003800,0,7.6,0.25,0,0,62.72,0.17,0,0,0.46,22.31,135,0,0,0,0.09,0,212.2,46.3,0,0
20191211,003900,0,8.84,0.29,0,0,72.9,0.2,0,0,0.46,22.31,135,0,0,0,0.09,0,212.2,46.3,0,0
20191211,004000,0,8.92,0.3,0,0,73.62,0.2,0,0,0.47,22.25,135,0,0,0,0.09,0,212.2,46.4,0,0
20191211,004100,0,9.08,0.3,0,0,74.88,0.21,0,0,0.51,22.44,135,0,0,0,0.09,0,212.2,46.4,0,0
20191211,004200,0,8.45,0.28,0,0,69.69,0.19,0,0,0.5,22.44,135,0,0,0,0.09,0,212.2,46.4,0,0
20191211,004300,0,8.79,0.29,0,0,72.5,0.2,0,0,0.49,22.56,135,0,0,0,0.09,0,212.2,46.3,0,0
20191211,004400,0,8.51,0.28,0,0,70.18,0.19,0,0,0.46,22.5,135,0,0,0,0.09,0,212.2,46.2,0,0
20191211,004500,0,8.55,0.28,0,0,70.51,0.19,0,0,0.48,22.31,135,0,0,0,0.09,0,212.2,46.1,0,0
20191211,004600,0,9.18,0.31,0,0,75.74,0.21,0,0,0.47,22.19,135,0,0,0,0.09,0,212.2,45.9,0,0
20191211,004700,0,8.5,0.28,0,0,70.09,0.19,0,0,0.46,22.38,135,0,0,0,0.09,0,212.2,45.7,0,0
20191211,004800,0,8.75,0.29,0,0,72.19,0.2,0,0,0.46,22.44,135,0,0,0,0.09,0,212.2,45.6,0,0
20191211,004900,0,8.61,0.29,0,0,71.03,0.2,0,0,0.48,22.5,135,0,0,0,0.09,0,212.2,45.6,0,0
20191211,005000,0,8.54,0.28,0,0,70.5,0.19,0,0,0.47,22.5,135,0,0,0,0.09,0,212.2,45.5,0,0
20191211,005100,0,8.38,0.28,0,0,69.14,0.19,0,0,0.5,22.31,135,0,0,0,0.09,0,212.2,45.4,0,0
