codigo_estacao,data,hora,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_direcao, vento_rajada,radiacao,precipitacao
A702,01/04/2020,00,26.7,27.6,26.6,58,59,54,17.8,17.9,17.5,952.1,952.1,951.5,2.7,126,4.6,-3.54,0.0
A702,01/04/2020,01,25.7,27.1,25.0,64,68,58,18.4,18.6,17.9,952.8,952.8,952.1,3.1,122,5.6,-3.54,0.0
A702,01/04/2020,02,24.6,25.8,24.5,69,69,64,18.5,18.5,18.3,952.9,953.0,952.8,2.8,120,4.6,-3.54,0.0
A702,01/04/2020,03,23.5,24.6,23.5,74,74,69,18.5,18.6,18.4,952.6,952.9,952.6,2.0,115,3.9,-3.54,0.0
A702,01/04/2020,04,24.6,24.7,23.4,69,74,68,18.4,18.6,18.4,952.4,952.7,952.4,3.4,117,5.3,-3.54,0.0
A702,01/04/2020,05,24.5,25.0,24.2,69,70,67,18.4,18.5,18.3,951.8,952.5,951.8,3.2,96,5.5,-3.54,0.0
A702,01/04/2020,06,23.7,24.6,23.6,73,73,68,18.5,18.5,18.3,951.5,951.8,951.5,3.1,92,6.1,-3.54,0.0
A702,01/04/2020,07,23.6,24.3,23.2,73,74,69,18.5,18.5,18.3,951.2,951.5,951.2,3.3,103,5.2,-3.54,0.0
A702,01/04/2020,08,22.7,23.8,22.7,77,77,72,18.5,18.5,18.4,951.6,951.6,951.2,3.1,101,5.5,-3.54,0.0
A702,01/04/2020,09,22.3,23.1,22.2,79,79,75,18.4,18.5,18.4,952.0,952.0,951.6,3.1,94,4.8,-3.54,0.0
A702,01/04/2020,10,21.9,23.3,21.9,79,79,73,18.1,18.4,18.0,952.5,952.5,952.0,2.9,96,6.3,0.224,0.0
A702,01/04/2020,11,23.6,23.6,21.9,73,79,73,18.5,18.6,18.1,953.1,953.1,952.5,2.2,90,4.0,199.1,0.0
A702,01/04/2020,12,27.2,27.2,23.6,60,73,59,18.7,19.1,18.4,953.5,953.5,953.1,3.5,82,6.6,1154.,0.0
A702,01/04/2020,13,28.4,28.9,27.2,56,61,55,18.8,19.3,18.3,954.1,954.1,953.5,3.5,101,7.4,1769.,0.0
A702,01/04/2020,14,29.9,30.1,28.0,53,58,51,19.2,19.9,18.5,954.1,954.3,954.1,3.2,104,6.5,2177.,0.0
A702,01/04/2020,15,31.1,31.3,29.6,45,54,44,17.9,19.7,17.3,953.9,954.2,953.9,2.9,117,5.9,3011.,0.0
A702,01/04/2020,16,31.9,32.1,30.7,45,48,42,18.6,19.2,16.9,953.1,953.9,953.1,3.0,104,6.9,3245.,0.0
A702,01/04/2020,17,32.1,32.8,30.6,43,47,39,18.0,19.2,16.5,952.4,953.1,952.4,1.7,62,6.9,2945.,0.0
A702,01/04/2020,18,33.0,33.1,31.5,38,44,35,16.6,18.1,15.6,951.8,952.4,951.8,1.1,33,4.7,2592.,0.0
